Customer ID,Customer Name,DOB,Address,Zip code,Mobile No,Email ID,Gender
U000056348,Albina,17-08-1993,"4 Ralph Ct,Dunellen,Middlesex,NJ,US",887076,9952704039,albina@glick.com,F
U000056608,Alishia Sergi,27-02-1984,"2742 Distribution Way,New York,New York,NY,US",222761,8857997484,alishia@sergi.com,F
U000056673,"Solange	 Shinko",01-09-1984,"426 Wolf St,Metairie,Jefferson,LA,US",604111,8105122143,solange@shinko.com,M
U000056554,Jose  Stockham,14-09-1980,"128 Bransten Rd,New York,New York,NY,US",965533,9885809972,jose@yahoo.com,F
U000056645,"Rozella 	Ostrosky",12-01-1997,"17 Morena Blvd,Camarillo,Ventura,CA,US",506499,9412621062,rozella.ostrosky@ostrosky.com,F
U000056184,Valentine Gillian,12-03-1993,"775 W 17th St,San Antonio,Bexar,TX,US",831973,8513838562,valentine_gillian@gmail.com,F
U000056459,Kati Rulapaugh,10-08-1995,"6980 Dorsett Rd,Abilene,Dickinson,KS,US",117606,7839889293,kati.rulapaugh@hotmail.com,F
U000056460,Youlanda Schemmer,05-09-1984,"2881 Lewis Rd,Prineville,Crook,OR,US",880768,8670583553,youlanda@aol.com,M
U000056999,Dyan Oldroyd,26-08-1982,"7219 Woodfield Rd,Overland Park,Johnson,KS,US",347394,9786188677,doldroyd@aol.com,F
U000056312,Roxane Campain,02-02-1985,"1048 Main St,Fairbanks,Fairbanks North Star,AK,US",325580,9612549767,roxane@hotmail.com,F
U000056716,Lavera Perin,03-01-1980,"678 3rd Ave,Miami,Miami-Dade,FL,US",297987,7142318932,lperin@perin.org,M
U000056848,Erick Ferencz,07-07-1991,"20 S Babcock St,Fairbanks,Fairbanks North Star,AK,US",107498,7234524112,erick.ferencz@aol.com,F
U000056955,"Fatima 	Saylors",09-01-1984,"2 Lighthouse Ave,Hopkins,Hennepin,MN,US",812673,7947702313,fsaylors@saylors.org,F
U000056195,"Jina 	Briddick",29-08-1994,"38938 Park Blvd,Boston,Suffolk,MA,US",888378,7851394846,jina_briddick@briddick.com,F
U000056243,Kanisha Waycott,15-02-1994,"5 Tomahawk Dr,Los Angeles,Los Angeles,CA,US",811287,7622637551,kanisha_waycott@yahoo.com,F
U000056571,Emerson Bowley,20-11-1995,"762 S Main St,Madison,Dane,WI,US",908861,8464057551,emerson.bowley@bowley.org,M
U000056694,Blair Malet,05-10-1995,"209 Decker Dr,Philadelphia,Philadelphia,PA,US",100451,9880272797,bmalet@yahoo.com,M
U000056795,Brock Bolognia,07-11-1978,"4486 W O St #1,New York,New York,NY,US",595286,7469132301,bbolognia@yahoo.com,M
U000056905,Lorrie Nestle,28-04-1992,"39 S 7th St,Tullahoma,Coffee,TN,US",563424,7260171725,lnestle@hotmail.com,F
U000056113,Sabra Uyetake,13-12-1988,"98839 Hawthorne Blvd #6101,Columbia,Richland,SC,US",239482,8829089344,sabra@uyetake.org,F
U000056128,Marjory Mastella,07-04-1984,"71 San Mateo Ave,Wayne,Delaware,PA,US",625183,9877431217,mmastella@mastella.com,F
U000056997,Karl Klonowski,30-01-1993,"76 Brooks St #9,Flemington,Hunterdon,NJ,US",195661,8870197517,karl_klonowski@yahoo.com,M
U000056413,Tonette Wenner,05-08-1979,"4545 Courthouse Rd,Westbury,Nassau,NY,US",217798,7786961350,twenner@aol.com,M
U000056057,Amber Monarrez,09-04-1997,"14288 Foster Ave #4121,Jenkintown,Montgomery,PAUS",499985,7833947877,amber_monarrez@monarrez.org,M
U000056534,"Shenika	 Seewald",14-06-1989,"4 Otis St,Van Nuys,Los Angeles,CA,US",457140,9428541766,shenika@gmail.com,F
U000056781,Delmy Ahle,25-11-1993,"65895 S 16th St,Providence,Providence,RI,US",545525,9562750929,delmy.ahle@hotmail.com,F
U000056919,Deeanna Juhas,20-04-1997,"14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,US",780255,8800379614,deeanna_juhas@gmail.com,F
U000056807,Blondell Pugh,03-06-1982,"201 Hawk Ct,Providence,Providence,RI,US",710415,9151998382,bpugh@aol.com,M
U000056435,Jamal Vanausdal,12-05-1984,"53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,US",670671,8669077109,jamal@vanausdal.org,M
U000056778,Daren Weirather,27-02-1984,"9 N College Ave #3, Milwaukee, Milwaukee, WI, US",230841,9643399242,dweirather@aol.com,M
U000056767,Fernanda Jillson,01-09-1984,"60480 Old Us Highway 51, Preston, Caroline, MD, US",155962,7125831193,fjillson@aol.com,F
U000056669,Gearldine Gellinger,14-09-1980,"4 Bloomfield Ave, Irving, Dallas, TX, US",935236,9068081081,gearldine_gellinger@gellinger.com,M
U000056109,Chau Kitzman,12-01-1997,"429 Tiger Ln, Beverly Hills, Los Angeles, CA, US",129280,9943776241,chau@gmail.com,F
U000056527,Theola Frey,12-03-1993,"54169 N Main St, Massapequa, Nassau, NY, US",829692,9079480066,theola_frey@frey.com,F
U000056755,Cheryl Haroldson,10-08-1995,"92 Main St, Atlantic City, Atlantic, NJ, US",545795,9344210536,cheryl@haroldson.org,F
U000056521,Laticia Merced,05-09-1984,"72 Mannix Dr, Cincinnati, Hamilton, OH, US",434758,9744257584,lmerced@gmail.com,F
U000056593,Carissa Batman,26-08-1982,"12270 Caton Center Dr, Eugene, Lane, OR, US",573512,7572207600,carissa.batman@yahoo.com,F
U000056328,Lezlie Craghead,02-02-1985,"749 W 18th St #45, Smithfield, Johnston, NC, US",387665,9724492037,lezlie.craghead@craghead.org,F
U000056862,Ozell Shealy,03-01-1980,"8 Industry Ln, New York, New York, NY, US",532258,7315118971,oshealy@hotmail.com,M
U000056425,Arminda Parvis,07-07-1991,"1 Huntwood Ave, Phoenix, Maricopa, AZ, US",616750,7216421182,arminda@parvis.com,F
U000056713,Reita Leto,09-01-1984,"55262 N French Rd, Indianapolis, Marion, IN, US",443915,9873402009,reita.leto@gmail.com,F
U000056334,Yolando Luczki,29-08-1994,"422 E 21st St, Syracuse, Onondaga, NY, US",754986,8528652306,yolando@cox.net,M
U000056093,Lizette Stem,15-02-1994,"501 N 19th Ave, Cherry Hill, Camden, NJ, US",535348,8124318067,lizette.stem@aol.com,M
U000056348,Gregoria Pawlowicz,20-11-1995,"455 N Main Ave, Garden City, Nassau, NY, US",734040,8804656085,gpawlowicz@yahoo.com,F
